deviceID;url;timestamp
52:54:00:55:34:c3;pesite.us/;1516294303
52:54:00:c2:19:dc;xhsite.us/;1515441058
52:54:00:9b:f8:91;vweb.uk.to/;1515017161
52:54:00:75:79:ab;xn--57-792d278c.xn--fiqs8s/;1515173051
52:54:00:0e:94:a5;xn--2ss264btrai62bws8a.xn--fiqs8s/;1516348316
52:54:00:66:4c:c3;xn--2es51huv2e.xn--fiqs8s/;1514980435
52:54:00:67:89:4d;cysite.us/;1516146964
52:54:00:0c:6f:4c;statcounter.com/;1514949948
52:54:00:6a:4f:52;www.shundetang.com.cn/;1515658217
52:54:00:b1:49:4a;ctsite.us/;1515761472
52:54:00:79:7b:89;xn--vhq8uz4mn72c5ibh79f.xn--fiqs8s/;1516703615
52:54:00:21:99:83;lksite.us/;1515460554
52:54:00:bc:97:6a;lrsite.us/;1516114434
52:54:00:2c:32:f7;plus.google.com/communities/109881979300958500728;1515042110
52:54:00:d8:c0:8d;pxsite.us/;1514995924
52:54:00:a5:35:65;jigsaw.w3.org/css-validator/check/referer;1515611692
52:54:00:40:51:65;www.jiataigroup.cn/;1516587415
52:54:00:8e:b4:e6;twitter.com/onecom;1515585708
52:54:00:ef:38:37;xn--1lq90i1f571aepm0gt2r1d.xn--fiqs8s/;1516380992
52:54:00:eb:d0:5a;xn--wlqs3ao6h36q.xn--fiqs8s/;1516753000
52:54:00:de:83:e3;www.hostnet.nl/;1515960658
52:54:00:84:19:be;lmsite.us/;1516360446
52:54:00:b9:20:c6;go.cpanel.net/cleardnscache;1516728252
52:54:00:56:2d:35;tdsite.us/;1515656195
52:54:00:12:a5:ae;www.joomla.org/;1515767418
52:54:00:51:e8:fb;xn--tkry8t09ara809x5l1b.xn--fiqs8s/;1515351733
52:54:00:27:f0:2a;chsite.us/;1516411052
52:54:00:45:75:d0;xn--l6qx3l3x4e.xn--fiqs8s/;1515348116
52:54:00:a2:83:9f;obattradisionalasamurat.biz.id/;1516670162
52:54:00:bc:6c:48;academy.hostnet.nl/;1516041579
52:54:00:09:49:12;nfsite.us/;1515275441
52:54:00:7a:c7:b1;xn--4gq50kba671df4cswbr3iot8dbrar2i3q7hoka.xn--fiqs8s/;1515829812
52:54:00:ae:a0:8e;www.bluehost.com/;1516077152
52:54:00:1e:f2:71;xn--pzsz6axqj76i11za.xn--fiqs8s/;1514872366
52:54:00:a4:3e:95;lksite.us/;1516376238
52:54:00:b7:71:12;qasite.us/;1514786174
52:54:00:7f:45:9a;xn--6rtu8oy87at6d.xn--fiqs8s/;1516809511
52:54:00:0f:8e:8f;xn--pssd43ofx5a.xn--fiqs8s/;1516499516
52:54:00:83:ee:27;dir.my.id/;1516384518
52:54:00:71:7d:1e;cmsite.us/;1516167410
52:54:00:af:4c:d5;www.parallels.com/products/desktop/intro;1515121004
52:54:00:d9:71:75;www.letianfood.com/;1514813266
52:54:00:de:83:e3;www.miitbeian.gov.cn/;1515194479
52:54:00:b0:af:fe;blog.undeveloped.com/;1516021243
52:54:00:fb:a0:cf;www.hostnet.nl/;1516707024
52:54:00:bc:1c:a6;www.networksolutions.com/index.jsp;1515361618
52:54:00:af:40:51;www.parallels.com/products/containers/intro/;1516706296
52:54:00:57:f0:b8;www.facebook.com/sharer/sharer.php;1516721590
52:54:00:34:ea:59;statcounter.com/;1516222291
52:54:00:d1:41:fe;lando.us.to/;1516839961
52:54:00:61:8b:6d;xn--btvtow1m.xn--fiqs8s/;1515113244
52:54:00:0c:c1:b6;www.jlchcake.com/;1515156801
52:54:00:41:ea:6e;aamobi.eu.org/;1515085955
52:54:00:5c:7b:84;youtube.com/;1515200691
52:54:00:ed:ee:a0;plus.google.com/share;1516362855
52:54:00:ce:97:ce;xn--rhq65nyogtqlfinmt3b.xn--fiqs8s/;1514878754
52:54:00:a8:66:26;www.cfuim.com/;1515412997
